id,score,comments
ur37if,115,14
ur32xs,63,3
ur32mr,0,5
ur2ug6,12,6
ur2pqq,26,1
ur2o7c,15,6
ur2jnv,5,1
ur2iyb,30,3
ur2fac,32,14
ur2b83,1,0
ur1wqb,241,43
ur1vfu,465,28
ur1qmo,14,1
ur1ntv,71,6
ur1mrd,1,1
ur1m4b,20,4
ur1lnx,45,1
ur19uh,2,2
ur198o,1,1
ur11bh,37,1
ur0xf4,1,0
ur0npa,17,2
ur0jn5,1,0
ur0j9m,28,9
ur0j6e,43,2
ur0i8c,1,1
ur0cp5,8,1
ur0a0t,47,4
ur08kw,17,2
ur079r,23,9
ur0641,47,1
ur05ks,81,7
uqzv3c,16,3
uqztf3,21,2
uqzrrp,41,5
uqzrpa,44,3
uqzdtu,86,30
uqz4ed,43,4
uqyv4l,12,1
uqynpb,91,10
uqykou,8,5
uqyhij,19,3
uqyfnu,16,4
uqyc3c,62,12
uqyajs,1,0
uqy9hc,11,7
uqy1c6,67,3
uqxz8e,10,8
uqxv42,46,1
uqxu9v,1,1
uqxret,38,4
uqxom0,1,0
uqxolk,49,47
uqxoc8,87,5
uqxno8,13485,138
uqxkc6,10,1
uqxjzn,1,0
uqxi9k,1,0
uqxh5a,1,1
uqx9b2,2,1
uqx53f,2,1
uqwxjm,1,0
uqwwjk,10,7
uqww9q,1,0
uqwv5a,1,0
uqwrqu,16,1
uqwrkc,31,9
uqwo41,97,8
uqwmey,4,2
uqwkv2,1,1
uqwecy,2,0
uqwbb4,1,0
uqwad0,153,6
uqw6ho,43,5
uqw5eo,8,1
uqw07r,333,8
uqvt60,184,8
uqvqme,58,5
uqvppj,49,4
uqvoga,3890,193
uqvldr,1,1
uqvku9,25,6
uqvk51,41,42
uqvdbg,659,30
uqvbpf,952,39
uqvavz,21,2
uqv9q6,0,1
uqv5s0,15,7
uquyqb,38,3
uquu8t,44,8
uquofq,1,0
uquk7h,9,1
uquc9c,9,3
uqu6xh,19,9
uqu0c5,1386,29
uqty11,5,2
uqtvqr,29,1
uqtrgm,68,4
uqtqvp,55,6
uqtpcd,26,4
uqthrb,18,7
uqtb5b,27,7
uqtaql,33,5
uqt4h4,56,12
uqsjmy,24,2
uqsft3,38,1
uqsfa6,1,1
uqs9f7,2,0
uqs78z,2,0
uqs54o,1,0
uqrzlc,1,0
uqryyu,2,0
uqrwyu,107,8
uqrv4a,16,2
uqrr87,1,0
uqrpw8,13,1
uqrnoq,63,9
uqrjv3,50,3
uqrfaw,27,3
uqrero,24,3
uqrd7t,87,6
uqrd4t,8,3
uqrafc,18,3
uqr55d,1,0
uqqx3d,1,0
uqquno,196,14
uqqn18,76,10
uqqlmc,1,1
uqqalc,50,5
uqpw2v,370,51
uqpsp5,13,4
uqpon6,72,10
uqpk0i,15,2
uqpf6y,27,3
uqp6av,45,2
uqopsz,7,2
uqom6t,1,0
uqnzym,1,0
uqnv2l,3,0
uqnt63,23,3
uqnjas,34,3
uqnj84,24,2
uqnhow,13,2
uqngx6,1,1
uqmxh5,92,6
uqmms5,12,1
uqmi0n,160,5
uqmhsx,36,2
uqmcjy,69,4
uqmbmi,56,1
uqma31,40,8
uqm47k,1,0
uqm3tj,46,5
uqm21b,58,19
uqm1au,48,2
uqm0m6,1,0
uqlxow,1,0
uqlofd,25,2
uqlm5x,83,4
uqlm34,34,3
uqljtr,1,1
uqliq3,43,1
uqlhuw,138,11
uqlhqz,2830,96
uqlhn0,1,0
uqlge1,34,3
uqlg5f,1,0
uqlev4,10,2
uqlejc,16,2
uqlbea,29,2
uqlasc,1,0
uql95k,1,1
uql8e7,1,1
uql88u,6,3
uql2gf,25,2
uql246,39,1
uqkuiz,28,5
uqkqyj,8,1
uqkpkr,4,1
uqkna2,1,0
uqkn60,21,2
uqkj42,20,4
uqki6u,26,1
uqkd62,36,2
uqkd0u,254,7
uqkbnu,30,6
uqk7pk,91,4
uqk29o,17,8
uqk1di,15,1
uqjzve,10,3
uqjy7m,1,0
uqjy51,28,3
uqjwu0,2,0
uqjuid,36,2
uqjs9z,108,4
uqjqq1,16,2
uqjomd,1,0
uqjl8e,1,1
uqjk0q,33,6
uqjhtr,1,0
uqjgo2,1,0
uqje01,50,5
uqjdl9,36,3
uqjddh,36,2
uqjap3,48,5
uqjac3,24,1
uqjaan,1,0
uqj2ad,19,2
uqizbw,159,12
uqiwhx,40,1
uqivey,15,1
uqiu3h,112,4
uqits1,22,2
uqist9,20,1
uqis4r,94,5
uqirph,513,49
uqirjw,385,33
uqirik,22,7
uqiqx2,68,3
uqipv4,55,1
uqipi4,26,5
uqio41,13,4
uqinj2,71,5
uqike0,25,1
uqik76,13,3
uqijrs,12,3
uqiglr,5,2
uqigiq,20,3
uqifo4,0,6
uqif2u,23,2
uqienc,20,2
uqi9s1,44,4
uqi7ms,29,1
uqi4vd,80,2
uqi3df,14,1
uqi1vr,34,1
uqi1v1,67,6
uqhz7q,2,1
uqhxrr,3,3
uqhx8a,64,5
uqhx88,7,2
uqhwrb,29,1
uqhv5j,5014,212
uqht00,18,2
uqhss7,8,1
uqhr1h,15,1
uqhjmf,47,2
uqhi3u,92,8
uqhhsb,30,2
uqhhj6,39,1
uqhh4i,96,3
uqhfku,29,1
uqhdlc,16,5
uqhapt,22,1
uqh85l,19,1
uqh6rc,1,0
uqh5tm,37,3
uqh5ea,15,2
uqh588,0,0
uqh52f,36,2
uqh1ee,60,12
uqgx8o,1,0
uqgsdj,32,3
uqgoaq,64,4
uqgo7r,28,1
uqgjum,0,3
uqggqc,1,0
uqgfvr,14,3
uqgf8j,21,2
uqger9,46,5
uqgd7z,55,4
uqgagy,31,1
uqg9st,16,4
uqg8kb,35,1
uqg7qq,37,1
uqg62k,20,1
uqg5hr,1,0
uqg523,125,3
uqg4bf,15,1
uqg357,1,0
uqfz5t,171,12
uqfwno,252,3
uqftv4,1,0
uqft3g,8994,164
uqfnnn,183,9
uqfm42,1,0
uqfeos,416,25
uqfb0z,35,3
uqfb04,12,2
uqfa0a,114,15
uqf92j,27,3
uqf85f,14,3
uqf3qd,17,2
uqexkr,18,4
uqewcr,40,1
uqesqz,42,9
uqemrt,90,5
uqem30,1,1
uqek2y,108,1
uqej8n,1,0
uqedw5,12,3
uqebh8,9,2
uqe2z1,6,3
uqdyy6,69,8
uqdxpa,40,2
uqdxgx,27,2
uqdvqz,684,22
uqduts,45,6
uqdrfl,73,10
uqdq32,2112,48
uqdkn4,4,3
uqdkkz,9,1
uqditz,168,5
uqdipw,7,5
uqdgzu,9,3
uqdegy,25,1
uqddip,1,1
uqddd5,6,1
uqdaiu,104,3
uqda8b,11,1
uqd965,39,4
uqd3p8,11,2
uqd3j2,74,1
uqczhw,6,1
uqczde,3,1
uqcue0,6,2
uqctnz,14,3
uqcs5c,21,2
uqcp6u,42,5
uqcn6c,25,1
uqcjqf,63,11
uqcj29,19,1
uqc7wa,29,6
uqc5rs,48,3
uqc115,0,0
uqbyme,222,8
uqbwae,15,2
uqbukv,0,10
uqbtad,1,1
uqbinp,7,1
uqbgt3,1,1
uqbdra,34,1
uqbbdc,1,0
uqbaew,718,32
uqb8ql,14,7
uqb8py,67,1
uqb8gt,33,3
uqb6gx,6,2
uqb3jl,30,2
uqb0c2,1,0
uqawqv,11,4
uqavte,2,1
uqauv4,26,3
uqat87,35,4
uqarim,146,8
uqapjs,22,1
uqap1s,145,8
uqao9w,1,0
uqan7j,4,1
uqan2y,9,2
uqamo2,6,3
uqalyz,6,1
uqaj1e,19,3
uqadce,36,1
