id,score,comments
udr0s4,25,1
udquex,187,5
udqqu5,1,1
udq98u,26,4
udq98p,1,4
udq783,4,3
udq4ty,16,1
udq3mw,2,1
udq0yj,216,8
udps3t,10,1
udpp0e,11,0
udpm6h,4,4
udp5r2,1,1
udoof8,79,8
udoar3,13,0
udo1et,1,0
udnr3n,1,0
udnouj,66,6
udnkog,24,0
udnjkn,1,0
udnh0i,1,0
udnfh0,14,0
udn9nq,1,1
udn8ey,1,0
udmroh,39,1
udmeu9,43,4
udmeqk,29,1
udmbh1,118,8
udm8w2,35,1
udm7b1,132,9
udm27m,14,0
udm02j,4,4
udlzm6,1,1
udluxs,1,1
udlozf,1,0
udlmtl,1,1
udlkpg,49,5
udlkni,1,1
udlic1,1,0
udlb01,18,7
udl9yq,5,4
udl8kz,11,0
udl8a5,8,1
udl7ui,11,2
udl6mw,17,2
udl6j3,1,0
udl5id,6,1
udl44l,17,0
udkyii,5,2
udkugo,7856,55
udkq79,1,0
udkpiu,41,0
udkm9j,52,5
udkes9,36,2
udkcfa,57,3
udk82t,346,21
udk4gh,14,0
udjzbo,1651,209
udjz6n,17,1
udjxaq,135,3
udjv59,1,0
udjtuc,16,2
udjsth,1,0
udjsp4,2,1
udjsl5,242,9
udjqd2,1,0
udjd6l,44,3
udj7ki,0,15
udj7d1,0,5
udj6ee,6,2
udj3ry,171,11
udj1eu,12,0
udixo3,18,0
udiwle,211,11
udivun,1,1
udir20,104,2
udir0f,21,0
udioda,32,1
udim4r,1,1
udifo9,1,2
udiei2,36,2
udidw0,99,3
udiazh,17,4
udi8by,97,3
udi68p,11,3
udi60n,32,1
udi5la,75,5
udi1ds,28,3
udi11k,46,2
udi079,29,2
udhz91,65,2
udhygd,25,5
udhy31,31,8
udhrqe,25,1
udhq4e,1,0
udhm4x,35,2
udhjj4,19,2
udhji3,59,8
udhj9c,2045,202
udhhs5,17,2
udhgma,1,0
udhb1m,18,4
udh4wc,618,20
udh3r4,34,1
udh0cu,33,11
udgxzn,18,7
udgxhv,45,5
udgr4x,16,0
udglgz,1,0
udgkpd,368,8
udgkoj,53,3
udgg2t,1048,51
udgf09,28,0
udg5pv,27,7
udg5n4,29,11
udfxd4,48,6
udfuc6,30,15
udfty0,1,0
udfpkz,27,5
udfnqa,12,2
udflye,1,1
udflsf,354,17
udfgiu,1,1
udfdcl,80,3
udf20c,102,7
udezsi,179,2
udew7t,31,0
udew39,49,3
udelab,16,9
udebs5,37,0
ude912,11,2
ude4kq,0,6
uddu7i,185,11
uddfwc,1,0
uddcoq,1597,414
udd7uk,182,7
udd7qv,181,13
udcyiy,57,4
udcu47,299,58
udcr8p,60,2
udcmtz,27,0
udcfe1,161,10
udcezg,9,0
udc8di,66,4
udbwfh,1,0
udbrcc,128,2
udbe0g,18,6
udb8p3,1,0
udb4rr,25,5
udb1kb,13,2
udaytv,22,6
udatxz,146,9
udamn9,1,0
udahtb,32,8
udaggb,14,0
udafrt,88,4
udadzy,38,0
uda8i8,105,7
uda84e,176,7
uda0e7,32,0
ud9vn9,1,0
ud9skg,1,0
ud9pb4,1,0
ud9nge,28,5
ud9hw2,30,2
ud9g47,29,0
ud9cr0,15,4
ud99z6,95,16
ud998f,22,1
ud939d,12,1
ud8yc4,23,11
ud8x01,15,3
ud8pve,12,0
ud8k9i,26,3
ud8dwy,24,0
ud8azn,1,0
ud84ko,1,0
ud83j8,1,0
ud7xah,3793,65
ud7vns,0,10
ud7t3s,125,0
ud7skx,311,51
ud7ocg,1,0
ud7nrl,17,0
ud7m57,1,0
ud7ixv,135,8
ud7i5f,41,6
ud6w4o,12,5
ud6rur,24,1
ud6pmy,20,2
ud6oj8,39,9
ud6gwl,1023,21
ud68af,55,3
ud64g3,64,2
ud5sx8,63,1
ud5ow6,1,0
ud5mbi,1,0
ud5ftm,8,0
ud597j,46,0
ud5512,1460,54
ud4z96,4,0
ud4wng,30,8
ud4vr3,1,1
ud4vqn,7121,77
ud4p5g,58,2
ud4n2i,1,0
ud4ml4,1,0
ud4m3w,1,0
ud4i07,1,0
ud4aol,1,0
ud49a9,83,17
ud43tp,78,9
ud40ry,90,1
ud3kq6,10,0
ud3ii0,1,0
ud3e1h,30,4
ud3dsz,18,3
ud34k0,9,3
ud2iq5,151,4
ud2egm,227,6
ud2de1,1,1
ud25vr,6,7
ud1zfr,26,4
ud1yr0,556,10
ud1wl4,20,0
ud1w98,126,13
ud1tof,3,8
ud1f5b,1,0
ud17w9,51,2
ud103x,48,2
ud0u0w,1,0
ud0o8r,48,9
ud0ku1,116,11
ud0k34,1,1
ud094r,136,5
ud08z4,1,1
ud04u3,1,1
udr0s4,25,5
udquex,188,1
udqqu5,1,4
udq98u,26,4
udq98p,0,3
udq783,4,1
udq4ty,15,1
udq3mw,2,8
udq0yj,215,1
udps3t,9,0
udpp0e,13,4
udpm6h,6,1
udp5r2,1,8
udoof8,78,0
udoar3,11,0
udo1et,1,0
udnr3n,1,6
udnouj,67,0
udnkog,25,0
udnjkn,1,0
udnh0i,1,0
udnfh0,11,1
udn9nq,1,0
udn8ey,1,1
udmroh,37,4
udmeu9,44,1
udmeqk,27,8
udmbh1,121,1
udm8w2,42,9
udm7b1,135,0
udm27m,17,4
udm02j,4,1
udlzm6,1,1
udluxs,1,0
udlozf,1,1
udlmtl,1,5
udlkpg,50,1
udlkni,1,0
udlic1,1,7
udlb01,18,4
udl9yq,6,0
udl8kz,12,1
udl8a5,7,2
udl7ui,10,2
udl6mw,15,0
udl6j3,1,1
udl5id,9,0
udl44l,19,2
udkyii,6,55
udkugo,7863,0
udkq79,1,0
udkpiu,40,5
udkm9j,53,2
udkes9,38,3
udkcfa,53,21
udk82t,344,0
udk4gh,13,209
udjzbo,1657,1
udjz6n,16,3
udjxaq,134,0
udjv59,1,2
udjtuc,15,0
udjsth,1,1
udjsp4,2,9
udjsl5,238,0
udjqd2,1,3
udjd6l,47,15
udj7ki,0,5
udj7d1,0,2
udj6ee,8,11
udj3ry,174,0
udj1eu,14,0
udixo3,16,11
udiwle,209,1
udivun,1,2
udir20,105,0
udir0f,19,1
udioda,31,1
udim4r,1,2
udifo9,1,2
udiei2,35,3
udidw0,98,4
udiazh,16,3
udi8by,96,3
udi68p,8,1
udi60n,33,5
udi5la,77,3
udi1ds,31,2
udi11k,47,2
udi079,31,2
udhz91,67,5
udhygd,27,8
udhy31,38,1
udhrqe,25,0
udhq4e,1,2
udhm4x,39,2
udhjj4,21,8
udhji3,61,202
udhj9c,2048,2
udhhs5,15,0
udhgma,1,4
udhb1m,17,20
udh4wc,615,1
udh3r4,35,11
udh0cu,31,7
udgxzn,18,5
udgxhv,52,0
udgr4x,17,0
udglgz,1,8
udgkpd,370,3
udgkoj,56,51
udgg2t,1053,0
udgf09,30,7
udg5pv,29,11
udg5n4,31,6
udfxd4,48,15
udfuc6,31,0
udfty0,1,5
udfpkz,26,2
udfnqa,15,1
udflye,1,17
udflsf,351,1
udfgiu,1,3
udfdcl,81,7
udf20c,104,2
udezsi,178,0
udew7t,32,3
udew39,45,9
udelab,17,0
udebs5,37,2
ude912,12,6
ude4kq,0,11
uddu7i,186,0
uddfwc,1,414
uddcoq,1599,7
udd7uk,186,13
udd7qv,181,4
udcyiy,64,58
udcu47,296,2
udcr8p,57,0
udcmtz,25,10
udcfe1,162,0
udcezg,7,4
udc8di,62,0
udbwfh,1,2
udbrcc,130,6
udbe0g,19,0
udb8p3,1,5
udb4rr,26,2
udb1kb,14,6
udaytv,20,9
udatxz,146,0
udamn9,1,8
udahtb,33,0
udaggb,12,4
udafrt,91,0
udadzy,42,7
uda8i8,98,7
uda84e,174,0
uda0e7,30,0
ud9vn9,1,0
ud9skg,1,0
ud9pb4,1,5
ud9nge,26,2
ud9hw2,29,0
ud9g47,30,4
ud9cr0,14,16
ud99z6,91,1
ud998f,24,1
ud939d,14,11
ud8yc4,23,3
ud8x01,15,0
ud8pve,14,3
ud8k9i,26,0
ud8dwy,21,0
ud8azn,1,0
ud84ko,1,0
ud83j8,1,65
ud7xah,3793,10
ud7vns,0,0
ud7t3s,121,51
ud7skx,310,0
ud7ocg,1,0
ud7nrl,17,0
ud7m57,1,8
ud7ixv,135,6
ud7i5f,39,5
ud6w4o,14,1
ud6rur,24,2
ud6pmy,19,9
ud6oj8,32,21
ud6gwl,1020,3
ud68af,50,2
ud64g3,62,1
ud5sx8,64,0
ud5ow6,1,0
ud5mbi,1,0
ud5ftm,10,0
ud597j,41,54
ud5512,1463,0
ud4z96,3,8
ud4wng,28,1
ud4vr3,1,77
ud4vqn,7120,2
ud4p5g,61,0
ud4n2i,1,0
ud4ml4,1,0
ud4m3w,1,0
ud4i07,1,0
ud4aol,1,17
ud49a9,83,9
ud43tp,79,1
ud40ry,85,0
ud3kq6,9,0
ud3ii0,1,4
ud3e1h,27,3
ud3dsz,17,3
ud34k0,8,4
ud2iq5,151,6
ud2egm,227,1
ud2de1,1,7
ud25vr,6,4
ud1zfr,29,10
ud1yr0,552,0
ud1wl4,19,13
ud1w98,128,8
ud1tof,3,0
ud1f5b,1,2
ud17w9,52,2
ud103x,43,0
ud0u0w,1,9
ud0o8r,48,11
ud0ku1,116,1
ud0k34,1,5
ud094r,136,1
ud08z4,1,1
ud04u3,1,0
ud046f,1,16
ud0246,194,5
uczlyb,12,2
uczgim,17,1
uczfpa,1,2
uczf4i,36,0
ucz48l,1,0
ucywqj,1,0
ucyhc5,1,0
ucyf3e,1,0
ucye9c,9,10
ucyaop,14,0
ucy53p,1,0
ucxv2v,1,5
ucxu6s,0,1
ucx92t,48,3
ucx5zc,18,1
ucx54m,7,6
ucx0cz,67,1
ucwyyh,2,23
ucwwp1,104,1
ucww7i,34,0
ucwn3w,1,3
ucwkuq,41,0
ucwau2,1,1
ucvw1n,72,31
ucvo2d,386,1
ucv5zs,7,6
ucv53o,9,1
ucv4xy,19,5
ucuzfv,31,0
ucullc,10,0
ucujt4,1,8
ucuinw,39,0
ucufxj,1,0
ucudqq,1,0
ucubfh,1,7
ucu6pu,27,0
uctqdf,29,5
uctq89,102,2
uctkhl,28,2
uctjoe,26,1
uctjg9,24,0
uctg9g,1,4
uctbzo,84,1
uctasf,33,6
ucta8t,49,11
ucta8k,17,2
uct9mj,47,10
uct9e8,16,0
uct8x5,35,0
uct0n2,6,5
ucsyhs,8,0
ucsxui,1,0
ucsrud,1,0
ucsnck,1,16
ucsm17,248,2
ucskne,10,0
ucsjpx,19,0
ucsfwd,1,1
ucs9id,10,0
ucs7xh,2,4
ucs5ac,66,0
ucs476,15,2
ucs3zd,6,3
ucs0tb,22,12
ucrz4w,171,1
ucryl9,20,3
ucrwi4,32,3
ucrsw5,36,13
ucrpqy,61,0
ucrk1f,1,0
ucrhww,1,0
ucrh3b,2,22
ucrgdv,1039,7
ucrg0t,78,1
ucrfan,24,0
ucre4u,2,5
ucre3l,11,3
ucrdtd,23,0
ucrcsz,1,9
ucrc33,30,0
ucr3zh,1,6
ucr3p9,87,0
ucr0td,18,0
ucqy87,39,2
ucqxig,31,4
ucquzl,46,6
ucqp6g,22,8
ucqn0h,30,2
ucqmt7,45,1
ucqmpv,16,3
ucqm9g,77,189
ucqjin,13030,3
ucqjh2,52,0
ucqg7a,22,2
ucqezd,9,1
ucqew0,1,0
ucqel1,1,2
ucq9qh,58,1
ucq5nz,57,3
ucq4qy,54,4
ucq4ay,36,9
ucq1k1,301,5
ucq0x4,91,4
ucpzxj,59,5
ucpx54,68,0
ucpuy9,60,3
ucppnh,3,5
ucpmn2,27,13
ucpjqa,5,10
ucpfv0,98,7
ucpfoq,36,3
ucpd46,15,0
ucp43c,32,4
ucp3g1,62,6
ucp12g,5,268
ucozam,4481,5
ucovf7,18,7
ucos5i,24,16
ucolvt,299,3
