id,score,comments
u89xc2,1,0
u89vw7,273,10
u89til,20,1
u89s4o,11,2
u89ohe,1,0
u89oe6,13,1
u89hz8,53,11
u89haa,0,8
u89h7p,0,10
u89fi8,6,5
u89exc,21,1
u896a4,38,8
u89493,1,0
u8926f,35,2
u88znr,14,1
u88u29,29,4
u88tub,6,7
u88lwg,1,1
u88ln5,33,4
u88iwv,26,1
u88ivx,24,2
u88h64,23,2
u88fdj,1052,23
u88bzg,35,6
u888x5,51,5
u884k3,17,19
u88187,3,1
u87zh7,1,5
u87wmz,67,5
u87tqq,2,2
u87rcf,5,5
u87q74,57,3
u87oaf,50,5
u87n87,1,1
u87mu7,1,1
u87l4z,49,2
u87i07,88,14
u87gr5,30,1
u87as6,20,2
u875p3,8,1
u86zka,69,9
u86z3b,30,2
u86yk3,123,6
u86yau,70,10
u86s1k,1,0
u86nih,116,10
u86lp0,30,2
u86a5y,1,0
u8673c,37,5
u85ws5,1000,79
u85w3i,1,1
u85voz,26,6
u85u40,1,0
u85rfu,32,2
u85mm0,21,3
u85mh5,3,3
u85kk5,1,0
u85ile,1,1
u85ek9,106,35
u85ek4,0,3
u85dci,1,0
u856f8,23,9
u854lb,1,1
u851ia,17,2
u84vfh,20,2
u84t7q,21,3
u84pk4,1,0
u84p5x,1,0
u84nb0,43,1
u84mqs,2,1
u84h86,17,4
u84ega,43,3
u8445b,145,8
u842ck,1,0
u83m08,35,3
u83kbx,3,2
u83az8,57,4
u833cv,27,4
u8333s,21,6
u82vao,16,4
u82ulc,1,3
u82plh,207,9
u82ejh,1,0
u82d50,1,0
u829x8,1,0
u82796,37,4
u8270l,6,6
u81ox2,14,2
u81k8u,1262,13
u81i9b,35,2
u81fwy,27,5
u81fgn,5,3
u81a75,13,2
u819hf,31,3
u817pr,5,1
u817aj,26,13
u811zd,4,2
u80wb3,2,0
u80vxi,40,1
u80tx9,30,4
u80t4s,36,2
u80rpe,172,16
u80nn7,1,0
u80lrg,5,7
u80kok,31,10
u80k7c,6,7
u80jt6,1,1
u80ioe,17,1
u809fj,90,3
u806a2,1,0
u8041a,38,9
u7zz4k,615,133
u7zy0a,1,0
u7zthq,1,0
u7zsjr,33,3
