id,score,comments
u5qhyj,1,0
u5qfxg,26,6
u5qfx4,1,0
u5qfoz,14,3
u5qfho,1570,38
u5qebu,47,4
u5qe4j,1,1
u5qd3y,2,1
u5qbz4,46,7
u5qb23,4,1
u5q416,5,7
u5q1a0,3,0
u5q0m6,13,9
u5py9f,16,1
u5py8w,18,1
u5pwo9,23,1
u5poi8,15,2
u5plgq,19,7
u5pknu,19,6
u5pirz,6,2
u5ph0u,13,2
u5pgkk,1,0
u5pgaa,30,4
u5pfqm,69,4
u5pdmn,0,5
u5pcv5,25,3
u5pc2x,21,1
u5pbz1,10,3
u5pasq,31,3
u5pagl,12,5
u5paaw,32,2
u5p9un,6,2
u5p6io,7,2
u5p62e,19,2
u5p4x7,10,4
u5p480,22,2
u5p37x,27,1
u5p2yl,1,1
u5p2y9,5,1
u5p2p6,11,1
u5oxv9,15,2
u5owcc,15,1
u5ov6w,12,3
u5ov4g,94,8
u5othi,197,13
u5ot23,23,2
u5ooca,18,7
u5oetq,140,10
u5ocm8,13,6
u5obm3,36,1
u5oazn,1,1
u5o8px,21,3
u5o72e,72,3
u5o6fv,5,1
u5o5lo,1,1
u5o0wh,35,1
u5nz5h,47,14
u5nx5x,18,2
u5nt51,2,1
u5nl57,38,8
u5njos,63,1
u5nhm3,46,10
u5nfl0,57,1
u5na8i,18,1
u5na8a,14,14
u5n8v0,1,0
u5n86o,1,0
u5n3yt,80,1
u5mzpu,18,7
u5myiy,685,258
u5mxpx,1,1
u5muhk,1,0
u5mrl1,150,8
u5mo6b,1,0
u5mnjc,19,2
u5mlxi,2,9
u5mijm,123,3
u5mi9e,64,2
u5mgbt,1,2
u5mf6f,1,0
u5mdqx,53,2
u5mc8x,13,4
u5mb53,0,1
u5m8kg,39,3
u5m8hr,22,2
u5m7ct,15,2
u5m3aq,19,2
u5lzpq,1,0
u5lyhh,11,12
u5lvwn,1005,38
u5ltri,1,0
u5lplc,1,1
u5lot6,15,1
u5lokn,1,1
u5llap,37,3
u5lih8,0,3
u5lgtl,2,1
u5ldig,354,53
u5l5lr,18,5
u5l00j,1,0
u5kz24,4,6
u5kx3y,1,0
u5kvtx,19,11
u5kmhf,0,7
u5klf8,0,1
u5kl33,1,2
u5kko2,151,27
u5kjqa,17,2
u5khra,11906,188
u5kgz4,1,1
u5kghu,14,3
u5kcmj,1,1
u5k6w0,20,6
u5k2x4,14,2
u5k0nm,55,11
u5jzlj,2,2
u5jwz2,1,1
u5jwi0,1,0
u5jvhn,1,0
u5jtkg,50,12
u5jqd0,1,0
u5jmrl,8,6
u5jmo4,5,6
u5jmn4,1,0
u5jl2l,25,2
u5jexq,1,0
u5jail,21,14
u5j781,2,2
u5j5qi,1,1
u5j2y7,41,3
u5ixzl,14,1
u5ixdm,12,1
u5is3a,1,0
u5irrm,19,5
u5irhn,5,2
u5irfb,1,0
u5ir7i,27,2
u5iq4r,25,3
u5ipga,430,45
u5im0a,1,0
u5iloz,29,16
u5ilhy,35,3
u5il84,15,11
u5iknq,1,1
u5ih0l,15,2
u5ifcj,46,7
u5icb4,11,5
u5ibda,1,1
u5iagu,1,1
u5i8lx,11,1
u5i5zc,5,1
u5i343,6,2
u5i20r,11,1
u5i1sr,44,4
u5i0if,1,0
u5hyhw,1,1
u5hxkr,11,1
u5hqq6,1,0
u5hpyx,5,1
u5hned,5,2
u5hkq8,9,4
u5hi5e,25,2
u5hf5w,119,13
u5hc8q,8,4
u5gz71,16,4
u5gv6i,2,1
u5gta5,164,10
u5gsjf,1,0
u5gqig,10,9
u5go8j,19,1
u5gn8s,78,5
u5glt0,1,1
u5gjpe,10,4
u5gd2v,14,1
u5gb4a,1,0
u5g9c9,26,3
u5g98x,1,0
u5fywm,7,1
u5fycs,1,0
u5fvls,87,5
u5fovm,14,1
u5fkfy,933,20
u5fi1b,43,8
u5fh3r,66,14
u5fgbc,15,2
u5fg76,15,3
u5fdu2,489,16
u5f8nx,103,3
u5f2df,0,2
u5eym1,13,3
u5evsx,7,2
u5esdt,9,2
u5epgd,3,1
u5eok2,36,2
u5eo20,109,15
u5efwu,452,14
u5effs,11,1
u5efdr,9,2
u5e1l6,8,2
u5dwjz,15,2
u5dtdg,22,1
u5druj,1,0
u5dpno,1,0
u5dmfs,36,3
u5dinm,14,2
u5dhy0,52,1
u5de12,11,1
u5db0v,51,1
u5d5ll,20,3
u5d4tg,34,6
u5d3nj,25,1
u5d3eu,13,3
u5cyjb,39,3
u5cx6y,41,3
u5cwr1,34,3
u5cs8f,1,0
u5cqf8,41,4
u5cq2a,80,18
u5cpfx,1,1
u5clz4,13,7
u5clv2,1,1
u5cl0d,15,4
u5ck51,31,2
u5cjw6,23,1
u5cjnf,13,7
