id,score,comments
ujcft7,19,0
ujcc5s,30,2
ujca7s,79,8
ujc71f,1,0
ujc5ou,17,2
ujc5ev,1,1
ujc1g1,1,0
ujbxj8,77,2
ujbwwl,20,0
ujbggm,88,7
ujbf1j,4468,77
ujbevk,15,0
ujbefx,92,1
ujbcuq,29,2
ujb8mz,123,66
ujb8f4,0,0
ujb5tg,1,0
ujb06m,47,3
ujavn4,1,1
ujau6z,30,1
ujasss,23,0
ujaqw4,20,0
ujapei,20,6
ujaoey,80,4
ujao2h,2,0
ujanye,10,2
ujan7g,5,0
ujak8o,17,2
ujajhf,210,6
ujafhv,4,0
ujaf3q,1,1
ujaeec,5,0
ujadyx,1,1
ujacwd,1,0
ujabkk,1,1
ujaao3,1,0
ujaa5d,36,2
uja879,1,0
uja5pd,104,4
uja2iv,14,1
uja1mw,1496,53
uj9yzy,111,5
uj9xoi,104,2
uj9wdb,1,0
uj9v42,902,83
uj9ryv,19,1
uj9lqt,43,2
uj9gp6,56,1
uj9ch0,1,0
uj9a53,43,8
uj99gh,1,0
uj962u,26,5
uj94nz,30,2
uj94m7,19,3
uj93kl,1,0
uj9003,25,3
uj8z8b,31,0
uj8ywy,37,4
uj8ybm,447,17
uj8xi5,1,0
uj8w0o,117,7
uj8vpo,20,5
uj8uoc,1,1
uj8t1c,81,5
uj8ky8,10,0
uj8fis,13,1
uj8eht,93,9
uj84s0,45,8
uj7z16,9,1
uj7ti4,7,7
uj7q34,1,0
uj7em0,119,28
uj79z3,599,21
uj79e7,12,1
uj772k,8,3
uj73xy,11,1
uj6orb,270,14
uj6fuh,1,0
uj6aww,21,4
uj697q,107,3
uj5w9m,1,0
uj5v4c,110,2
uj5oek,28,2
uj56wa,7,1
uj56js,21,0
uj5589,35,2
uj5000,10,1
uj4ztx,137,11
uj4v5x,28,2
uj4s8v,14,1
uj4jlw,7,0
uj4gu9,1,2
uj4f09,6,1
uj4biz,0,4
uj42fj,1,0
uj3x2p,41,2
uj3wfw,3583,158
uj3rss,24,0
uj3bdc,13,1
uj38a5,62,4
uj37mf,46,0
uj31qp,677,82
