id,score,comments
ugdggk,17,5
ugdf0j,2,2
ugdemg,42,2
ugde77,1,1
ugdd8n,15,0
ugdcwk,0,14
ugdb35,3,0
ugd8nv,62,4
ugd7y7,1,0
ugd6fu,1,0
ugd3ux,1,0
ugd2bx,40,1
ugd234,23,1
ugczkz,13,1
ugcz9a,41,5
ugcx3c,1,0
ugcwit,1,1
ugcmo2,20,0
ugcmmn,15,2
ugcmd5,50,1
ugclgl,238,38
ugcj72,11,1
ugchzi,48,0
ugcg5q,20,1
ugcf04,13,0
ugcd3x,10846,346
ugcacq,37,2
ugc8v2,77,8
ugc8da,15,1
ugc6wz,12,2
ugc5vu,17,1
ugc531,34,1
ugc3ky,142,6
ugc1ld,6,1
ugbzxi,52,2
ugbvry,33,14
ugbry1,14,2
ugbrfa,31,7
ugbpxy,187,5
ugboz7,37,4
ugbnps,34,1
ugbn46,17,5
ugbliz,15,1
ugbkcd,19,3
ugbjz0,39,3
ugbhow,1,0
ugbgpo,7,0
ugbge3,53,4
ugbeu6,24,4
ugbe5r,30,2
ugbdia,18,1
ugbce1,49,4
ugbcd3,1,0
ugb8rd,14,0
ugb8g2,23,1
ugb8af,1,0
ugb61d,3,0
ugb5wt,1,0
ugb5az,16,1
ugb4ms,0,3
ugb2db,20,2
ugb0so,2,0
ugb0q7,18,8
ugazph,128,4
ugay15,8,0
ugawmn,15,4
ugatyh,36,5
ugarw5,12,0
ugalwb,17,0
ugakyg,24,1
ugafrg,34,0
ugafnr,15,0
ugad75,4,1
ugacun,81,5
ugab0g,88,5
uga9qa,10,0
uga7p3,1,0
uga6z5,210,7
uga6pw,23,2
uga627,1,0
uga4n0,38,11
uga00g,10,0
ug9zg1,2,10
ug9y4j,90,3
ug9uvy,14,3
ug9ulv,24,2
ug9q1p,61,0
ug9k4q,42,7
ug9c6m,72,1
ug9biq,7,2
ug974d,11,1
ug90yp,1090,29
ug8y54,8,0
ug8vz0,9,4
ug8uq9,1,0
ug8t06,27,1
ug8s0w,12,1
ug8rb4,31,11
ug8r50,16,4
ug8r2z,77,2
ug8pzx,37,0
ug8nbp,35,4
ug8mhz,6,0
ug8j53,22,2
ug8itw,48,6
ug8eru,15,1
ug8ctr,155,11
ug8bau,55,2
ug8a6d,18,1
ug8975,14,1
ug83c3,1,1
ug82ta,52,7
ug7xlx,1,1
ug7w3d,82,4
ug7osf,1,0
ug7nk0,21,2
ug7ljq,14,4
ug7lb0,26,15
ug7ks6,1,0
ug7hq7,28,3
ug7h0k,17,1
ug7g6v,16,2
ug7fmm,26,11
ug7dpj,17,2
ug7azy,25,4
ug79kh,12,1
ug78ey,12,2
ug76sk,1,0
ug72ag,1,0
ug6nli,4,0
ug6kfa,20,3
ug6ife,312,14
ug6hre,43,11
ug6eo4,33,4
ug6aed,24,1
ug64dn,6,3
ug63mr,13,0
ug6312,229,11
ug61c2,1,0
ug61af,1,0
ug60mc,1,1
ug5xf6,5,0
ug5x5q,8,1
ug5t9i,14,2
ug5oh1,49,5
ug5k2r,12,2
ug5imm,1,1
ug5gpf,11,1
ug5gn6,17,0
ug5g5o,21,7
ug5fgz,1,1
ug5eqn,42,1
ug5ely,19,0
ug58s2,122,27
ug5834,8,0
ug56ik,57,6
ug52gz,0,0
ug51px,1,0
ug50ek,100,8
ug4zse,9,0
ug4zi5,14,0
ug4ydm,11,0
ug4y2w,21,3
ug4wcb,1,0
ug4w8n,14,3
ug4p5g,38,5
ug4nn9,59,9
ug4luv,9,0
ug4jzc,33,8
ug4hu9,29,1
ug4d2x,103,4
ug4ax5,34,6
ug4akl,34,1
ug499m,273,40
ug47zl,1,0
ug46y6,21,3
ug41gb,1,0
ug40ts,17,3
ug4058,15,5
ug3v0n,1100,63
ug3sjm,11,0
ug3ocf,32,2
ug3dzs,1,0
ug3ddm,43,3
ug3b1s,2,0
ug36li,1,6
ug35sn,14,0
ug2yyz,21,1
ug2ymm,45,5
ug2y9h,1,0
ug2wx1,15,0
ug2wp5,17,1
ug2wck,1,0
ug2wc7,27,0
ug2t6q,47,3
ug2qal,1,0
ug2pyn,17,0
ug2prg,7,0
ug2mu8,21,0
ug2mff,1,1
ug2ksw,57,6
ug2j7p,1,0
ug2id6,1,0
ug2i8b,28,0
ug2ghr,125,11
ug2f2l,78,12
ug2am6,10,1
ug275l,19,2
ug26bz,38,1
ug237p,4,1
ug219w,17958,229
ug218k,48,2
ug1zr0,30,1
ug1znv,45,0
ug1usr,27,1
ug1svi,16,2
ug1qsj,9,0
ug1p7h,12,2
ug1o9k,12,2
ug1ne5,7,0
ug1lpn,1,0
ug1leo,35,4
ug1iyy,1,0
ug1i2r,21,2
ug1hnj,157,48
ug1e0l,149,5
ug1dnh,1,0
ug1as8,2,2
ug1ahm,189,16
ug18pn,23,12
ug16pe,8,2
ug14zw,13,0
ug14kg,14,0
ug10dd,149,6
ug0z1u,94,13
ug0yxv,14,2
ug0tfo,17,5
ug0r4d,8,0
ug0q0d,398,28
ug0ngk,1,1
ug0man,10,2
ug0m4z,1,0
ug0lko,35,2
ug0dqi,148,5
ug0aue,48,13
ug029y,1,0
ug0210,26,2
ug01bh,10,0
ufzss5,2,8
ufzq8o,6,0
ufzny0,4,0
ufzmr5,3,7
ufzj4w,1,2
ufzij5,59,1
ufzi2h,138,9
ufzevf,0,5
ufzbt7,99,3
ufz8h6,4890,75
ufz89v,12,9
ufz860,1,0
ufz6y0,0,0
ufz66p,1,0
ufz5et,59,10
ufz0n3,76,6
ufz0i9,63,9
ufyt87,1,0
ufylbt,11,1
ufydob,1,3
ufyahc,1,0
ufy9rf,1,0
ufy21w,2,2
ufy03l,4990,133
ufxy7v,22,0
ufxxhx,1,0
ufxurj,27,3
ufxtqm,76,8
ufxp2c,27,4
ufxe9e,1,0
ufx95u,5,6
ufwy5b,9,1
ufwwby,1,1
ufwuar,11,0
ufwior,20,1
ufwcwl,16,0
ufw91q,12,33
ufw8yj,0,5
ufw6fn,16,1
ufw1qy,1,0
ufvm1q,315,11
ufvl33,1,0
ufvi99,1,0
ufvgj0,31,5
ufvaw9,17,0
ufvahw,1,0
ufv4vy,178,10
ufv3w6,1,1
ufuyyk,1,0
ufutzk,2,0
ufuiza,28,1
ufu6dz,12,0
ufu43j,1,0
ufu3wm,2,0
ufu0co,21,6
uftwu5,0,0
uftpj6,29,1
uftojg,1,0
ufthwe,7,5
uftc2l,59,22
uft8pv,36,0
uft8d6,1610,23
uft6q5,9,0
uft57f,14,3
ufsz78,144,8
ufstk9,39,3
ufsslg,9,0
ufsr3j,1,1
ufsps2,17,3
ufsnjd,666,40
ufs9b9,20,6
ufs3uk,14,0
ufs080,14,0
ufs01m,1,0
ufrtu6,1,0
ufrm8k,59,1
ufrkwg,1,0
ufrf70,61,3
ufrc63,120,3
ufrbps,13,5
ufr6il,51,5
ufr6hp,16,5
ufqt8b,351,22
ufqsg7,9,11
ufqmi5,19,6
ufqlfd,28,1
ufqcoi,2,1
ufq9bf,32,3
ufq7yi,0,5
ufq4yp,22,6
ufq4ol,109,2
ufq4hh,1,0
ufq3h8,5,4
ufq384,1,1
ufpzkr,17,3
ufpt7v,21,0
ufpt2x,1,0
ufprz7,35,5
ufpprh,1394,27
ufpngt,3,0
ufpmes,17,24
ufplad,61,5
ufpk5g,32,6
ufpdo9,29,3
ufpbmh,25,1
ufp8r5,1,0
ufp8ey,35,3
ufp691,24,3
ufoze4,48,4
ufozat,0,2
ufoxje,38,3
ufoqgj,83,2
ufophz,9,17
ufopg8,56,4
ufoo61,33,3
ufoo3i,1,0
ufojtu,35,1
ufoix7,50,6
ufoetf,39,1
ufoe70,15,4
ufod3n,26,3
ufoar5,13,0
ufo9m5,2,2
ufo7j5,5,2
ufo2il,644,76
ufo1en,12,0
ufnz6f,311,27
ufny8x,21,2
ufnxkl,114,22
ufnwt8,13,2
ufnuvf,24,0
ufns83,1,0
ufnrsj,1,0
ufnp83,151,8
ufnolj,17,5
ufnofa,5,2
ufnnjw,1,0
ufnlyr,48,3
ufnk4m,13,4
ufnicd,50,1
ufndfl,11,0
ufnbrl,26,0
ufn8vl,10,0
ufn6g8,1,0
ufn2ml,14,14
ufmwg4,1,0
ufmuig,978,79
ufmu7o,14,1
ufmsoh,38,3
ufmpvf,1,0
ufmpsi,0,3
ufmo97,13,2
ufmo51,19,4
ufmkvv,9,4
ufmgq5,31,4
ufmek3,23,1
ufme55,16,0
ufm5dz,23,3
ufm19v,116,12
uflyt5,6,1
uflyr6,4869,64
uflv9i,26,3
uflohs,50,4
uflmsx,28,1
ufllfq,5,0
ufljsw,23,1
uflj70,22,0
uflhub,1,3
uflgz9,13,2
uflgpi,24,0
uflggk,11,1
uflfsg,38,6
uflfgp,17,4
ufles4,149,9
ufle7t,22,2
uflbkw,22,3
uflav8,25,2
ufl1xh,44,5
ufl1oq,26,1
ufl1cp,12,0
ufkzx8,15,2
ufkum5,8,3
ufktb9,7,3
ufkoq7,15,1
ufkj51,6,2
ufkiyf,1,0
ufkho8,1,2
ufkbjk,1,0
ufk975,94,9
ufk7x6,14,1
ufk67f,25,7
ufjx3q,33,10
ufjx3c,116,24
ufjsg9,80,2
ufjihx,130,14
ufjibo,33,6
ufjamq,1,0
ufj924,1,0
ufj6wo,145,6
ufj23g,1,1
ufj1as,17,0
ufiz7h,17186,608
ufiz0l,248,7
ufitm8,23,6
ufipc4,0,9
ufim9z,0,2
ufikk9,11,5
ufik7l,0,1
ufiifn,23,2
ufif0q,15,1
ufic0i,1,0
ufibq0,5,1
ufi6ps,78,7
ufi14h,1,0
ufhuqm,14,1
ufhrak,1,1
ufhpu2,15,0
ufhg99,14,1
ufhfuo,15,0
ufhccs,77,4
ufh8u1,84,2
ufh6gn,1,0
ufh2s2,8,0
ufh091,26,17
ufgwo8,18,1
ufgviv,95,2
ufgui3,49,4
ufguhf,11,0
ufgle1,15,0
ufggyx,1,0
ufgeyq,32,8
ufgds9,4,4
ufgd5c,20,0
ufgbst,2,0
ufg60j,55,6
uffzrp,10,1
uffqrv,11,1
uffp6q,1,0
uffotf,30,7
ufflrs,14,15
uffizm,7,0
uffine,28,24
ufffej,16,4
uff9y0,38,12
uff768,4,0
uff69c,11,3
uff4kl,31,3
ufexgg,20,2
ufeu9g,47,7
ufethh,6,0
uferc6,157,6
ufem9y,14,0
ufekhm,6,1
ufejwe,16,0
ufehk1,1,0
ufege5,1,1
ufefxd,9,4
ufe7ol,26,4
ufe6fw,34,2
ufdsp5,13,0
ufdq5d,18,1
ufdiy2,1,0
ufdgnn,26,1
ufddy4,176,4
ufddo2,96,5
ufdayy,14,3
ufd9z4,45,2
ufd8j9,19,0
ufd6u3,76,6
ufd5co,1,1
ufd2ii,97,4
ufd0xe,8,0
ufcxr4,1,0
ufcxqu,27,3
ufcuge,1,0
ufctng,20,2
ufcs7n,19,57
ufckio,19,12
ufck45,1,1
ufchz6,212,23
ufc2x2,24,10
ufbwtm,12232,299
ufbw70,116,14
